jud,uat,GEORGE SIMION,CRIN ANTONESCU,NICUȘOR DAN,VICTOR PONTA,Prezenta,Castigator,Procent castigator,Lat,Long,Mediu,Procent plecari din populatie (2023),Suprafata locuibila/cap de locuitor (m patrati) 2023,Numarul de salariati raportat la populatie (% din populatie) 2023,Cote de impozit raportat la populatie (2022),Fonduri pe cap de locuitor (2022),Pacienti la un medic 2023,Varsta medie a populatiei in 2023,Ponderea somerilor in 2023
BIHOR,ȚEȚCHEA,46.74,32.3,5.59,11.27,49.52,GEORGE-NICOLAE SIMION,46.74,47.02344369,22.29433298,RURAL,1.782969567,15.59176145,11.46633876,256.5470373,574.4242517,3253,37.28,1.2
BISTRIȚA-NĂSĂUD,BISTRIȚA BÂRGĂULUI,61.11,12.88,12.11,10.17,43.46,GEORGE-NICOLAE SIMION,61.11,47.15482995,24.88772534,RURAL,1.480637813,25.20022779,7.699316629,212.9002273,37.44568182,2195,40.89,0.9
BISTRIȚA-NĂSĂUD,BRANIȘTEA,26.4,49.42,11.7,8.32,42.57,GEORGE-CRIN-LAURENȚIU ANTONESCU,49.42,47.15534087,24.07634117,RURAL,0.969529086,19.27146814,6.648199446,150.0837931,0,2888,45.18,3.2
BISTRIȚA-NĂSĂUD,BUDACU DE JOS,54.95,21.89,8.64,10.65,50.65,GEORGE-NICOLAE SIMION,54.95,47.08402902,24.52698403,RURAL,2.01960202,23.40510841,8.702108702,115.2946269,41.29850746,1683.5,38,0.6
BISTRIȚA-NĂSĂUD,BUDEȘTI,47.73,19.41,11.58,17.06,49.1,GEORGE-NICOLAE SIMION,47.73,46.83589457,24.23464998,RURAL,1.78058587,19.81332567,4.480183802,100.3348519,0,#DIV/0!,40.83,1.1
BISTRIȚA-NĂSĂUD,CETATE,51.52,27.59,9.55,7.77,47.84,GEORGE-NICOLAE SIMION,51.52,47.10570173,24.66166112,RURAL,1.857282502,18.64809384,16.61779081,255.0526488,90.17298888,3069,35.98,6.3
BISTRIȚA-NĂSĂUD,CHIOCHIȘ,40.18,36.79,7.05,12.86,51.6,GEORGE-NICOLAE SIMION,40.18,46.97891817,24.18422568,RURAL,2.192816635,20.68468809,4.839319471,121.6759673,186.1186756,#DIV/0!,44.69,1.4
BISTRIȚA-NĂSĂUD,CHIUZA,47.85,20.49,13.25,15.46,45.11,GEORGE-NICOLAE SIMION,47.85,47.24229478,24.23286869,RURAL,1.467889908,22.73623853,12.6146789,230.8509768,0,2180,40.75,3
BISTRIȚA-NĂSĂUD,CICEU-GIURGEȘTI,44.84,21.95,9.57,20.08,46.79,GEORGE-NICOLAE SIMION,44.84,47.27347014,23.98992377,RURAL,1.702442635,21.4019245,7.327905255,122.3968481,45.6217765,1351,46.84,6.3
BISTRIȚA-NĂSĂUD,CICEU-MIHĂIEȘTI,49.88,16.47,13.37,13.6,45.21,GEORGE-NICOLAE SIMION,49.88,47.2185632,23.95528182,RURAL,1.178451178,23.54713805,10.52188552,164.675563,0,#DIV/0!,40.8,0
BISTRIȚA-NĂSĂUD,COȘBUC,41.5,23.33,7.67,25,39.2,GEORGE-NICOLAE SIMION,41.5,47.37196504,24.40169963,RURAL,2.115583075,19.21362229,8.30753354,195.7402464,564.664271,1938,42.1,3.4
BISTRIȚA-NĂSĂUD,CĂIANU MIC,30.49,10.49,4.34,52.17,46.95,VICTOR-VIOREL PONTA,52.17,47.25989194,24.12517155,RURAL,1.28663331,19.73481058,7.838932571,140.3039793,164.8947492,2098.5,38.36,2.4
BISTRIȚA-NĂSĂUD,DUMITRA,66.96,11.73,7.33,9.38,36.09,GEORGE-NICOLAE SIMION,66.96,47.21601587,24.43556283,RURAL,1.570319241,15.7078516,5.470232959,121.8564245,32.92959945,2897.5,34.3,1.8
BISTRIȚA-NĂSĂUD,DUMITRIȚA,72.84,10.2,5.76,7.1,34.99,GEORGE-NICOLAE SIMION,72.84,47.07698831,24.73319961,RURAL,1.967799642,18.85509839,3.577817531,90.903514,988.2513401,3354,35.92,0
BISTRIȚA-NĂSĂUD,FELDRU,60.74,13.5,13.05,9.73,29.41,GEORGE-NICOLAE SIMION,60.74,47.28876863,24.58067788,RURAL,1.828012358,17.41928424,5.895983522,138.7160936,17.68694874,2589.333333,38.48,1.8
BISTRIȚA-NĂSĂUD,GALAȚII BISTRIȚEI,38.37,32.88,10.78,12.9,48.86,GEORGE-NICOLAE SIMION,38.37,46.98586603,24.41934581,RURAL,1.98702352,25.18937551,10.0567721,130.2519146,0,2466,40.19,1.3
BISTRIȚA-NĂSĂUD,ILVA MARE,61.67,13.25,10.88,12.15,33.81,GEORGE-NICOLAE SIMION,61.67,47.3567509,24.90125723,RURAL,1.330561331,17.55841996,6.153846154,120.7728968,58.13385827,2405,40.15,3.2
BISTRIȚA-NĂSĂUD,ILVA MICĂ,49.14,20.86,12.26,13.33,35.97,GEORGE-NICOLAE SIMION,49.14,47.2962113,24.68286984,RURAL,1.662636034,16.54020556,10.18742443,234.9052061,34.51278965,3308,40.07,1.9
BISTRIȚA-NĂSĂUD,JOSENII BÂRGĂULUI,61.52,13.78,10.21,10.91,41.11,GEORGE-NICOLAE SIMION,61.52,47.210431,24.6716363,RURAL,1.849775785,19.29129297,7.473841555,149.9261695,18.36971633,2676,38.8,0.9
BISTRIȚA-NĂSĂUD,LECHINȚA,46.58,26.05,8.62,15.21,42.74,GEORGE-NICOLAE SIMION,46.58,47.01104787,24.33016022,RURAL,1.875407697,17.69618395,8.85518591,195.8568882,0.476337115,6132,38.92,1.7
BISTRIȚA-NĂSĂUD,LEȘU,71.15,11.03,4.67,9.9,31.58,GEORGE-NICOLAE SIMION,71.15,47.30603377,24.81836866,RURAL,1.545486477,17.90586582,8.570425009,124.3978344,603.6227733,#DIV/0!,39.25,2.4
BISTRIȚA-NĂSĂUD,LIVEZILE,59.51,11.94,11.61,12.34,37.25,GEORGE-NICOLAE SIMION,59.51,47.17288991,24.64165709,RURAL,1.682459872,17.6302456,14.40727132,179.1023957,12.50425039,2585.5,37.56,1
BISTRIȚA-NĂSĂUD,LUNCA ILVEI,56.24,15.64,12.05,11.73,35.66,GEORGE-NICOLAE SIMION,56.24,47.35448304,25.00274124,RURAL,1.76744186,19.31813953,19.2248062,301.4282209,115.204908,#DIV/0!,40.84,1.1
